TCGA-A7-A0CE	TCGA-A7-A0CH	TCGA-A7-A0D9	TCGA-A7-A0DB	TCGA-A7-A0DC	TCGA-A7-A13E	TCGA-A7-A13F	TCGA-A7-A13G	TCGA-AC-A23H	TCGA-AC-A2FB	TCGA-AC-A2FF	TCGA-AC-A2FM	TCGA-BH-A0AU	TCGA-BH-A0AY	TCGA-BH-A0AZ	TCGA-BH-A0B3	TCGA-BH-A0B5	TCGA-BH-A0B7	TCGA-BH-A0B8	TCGA-BH-A0BA	TCGA-BH-A0BC	TCGA-BH-A0BJ	TCGA-BH-A0BM	TCGA-BH-A0BQ	TCGA-BH-A0BT	TCGA-BH-A0BV	TCGA-BH-A0BW	TCGA-BH-A0BZ	TCGA-BH-A0C0	TCGA-BH-A0C3	TCGA-BH-A0DD	TCGA-BH-A0DG	TCGA-BH-A0DH	TCGA-BH-A0DK	TCGA-BH-A0DL	TCGA-BH-A0DO	TCGA-BH-A0DP	TCGA-BH-A0DQ	TCGA-BH-A0DT	TCGA-BH-A0DV	TCGA-BH-A0DZ	TCGA-BH-A0E0	TCGA-BH-A0E1	TCGA-BH-A0H5	TCGA-BH-A0H7	TCGA-BH-A0H9	TCGA-BH-A0HA	TCGA-BH-A0HK	TCGA-BH-A18J	TCGA-BH-A18K	TCGA-BH-A18L	TCGA-BH-A18M	TCGA-BH-A18N	TCGA-BH-A18P	TCGA-BH-A18Q	TCGA-BH-A18R	TCGA-BH-A18S	TCGA-BH-A18U	TCGA-BH-A18V	TCGA-BH-A1EN	TCGA-BH-A1EO	TCGA-BH-A1ET	TCGA-BH-A1EU	TCGA-BH-A1EV	TCGA-BH-A1EW	TCGA-BH-A1F0	TCGA-BH-A1F2	TCGA-BH-A1F6	TCGA-BH-A1F8	TCGA-BH-A1FB	TCGA-BH-A1FC	TCGA-BH-A1FD	TCGA-BH-A1FE	TCGA-BH-A1FG	TCGA-BH-A1FH	TCGA-BH-A1FJ	TCGA-BH-A1FM	TCGA-BH-A1FN	TCGA-BH-A1FR	TCGA-BH-A1FU	TCGA-BH-A203	TCGA-BH-A204	TCGA-BH-A208	TCGA-BH-A209	TCGA-E2-A153	TCGA-E2-A158	TCGA-E2-A15I	TCGA-E2-A15K	TCGA-E2-A15M	TCGA-E2-A1BC	TCGA-E2-A1IG	TCGA-E2-A1L7	TCGA-E2-A1LB	TCGA-E2-A1LH	TCGA-E2-A1LS	TCGA-E9-A1N4	TCGA-E9-A1N5	TCGA-E9-A1N6	TCGA-E9-A1N9	TCGA-E9-A1NA	TCGA-E9-A1ND	TCGA-E9-A1NF	TCGA-E9-A1NG	TCGA-E9-A1R7	TCGA-E9-A1RB	TCGA-E9-A1RC	TCGA-E9-A1RD	TCGA-E9-A1RF	TCGA-E9-A1RH	TCGA-E9-A1RI	TCGA-GI-A2C8	TCGA-GI-A2C9		
A2M	8.30077	7.88908	8.16438	8.20612	7.76767	8.50385	7.8343	8.01376	8.03849	8.35126	8.20608	7.43965	7.61647	8.21141	8.15537	7.79663	7.40661	7.59887	7.65536	8.00681	8.08742	7.93696	7.71092	8.34133	8.00014	7.75418	8.13735	8.19875	7.72482	7.96594	8.01054	7.63153	8.15442	7.62343	8.46363	7.63929	8.06868	7.65488	7.85611	7.76999	7.96354	7.9773	7.28358	7.85277	7.3725	8.27287	7.57797	7.89804	7.62763	8.41522	7.84636	8.11704	8.05957	7.67542	7.71263	7.34906	7.90392	7.67203	7.07285	8.56487	8.32124	8.29465	7.6094	8.0227	7.29516	7.95924	8.01355	8.1997	8.03348	7.56768	8.34063	7.98405	7.49372	7.32534	7.65695	7.88779	8.10065	8.60173	8.1168	8.1917	7.8872	8.14008	7.3903	8.77327	7.80321	7.8462	7.53282	8.12124	8.48085	7.47331	8.15133	8.62543	7.35095	7.40058	7.46534	7.1932	7.77809	7.73303	7.32295	7.90225	8.09429	7.9665	7.99838	8.27052	7.82622	8.01187	8.0005	7.97366	8.09434	7.51155	6.2108	7.84009		
ABAT	2.85504	2.01081	0.943243	1.16054	2.18082	1.74141	1.24765	1.54944	1.63537	2.08515	2.6428	1.95936	2.59717	2.3739	2.7077	2.01118	0.907852	2.96132	1.02219	2.20581	1.75111	2.32753	2.03619	2.55149	2.8775	2.39448	1.86439	2.11982	2.8366	2.42601	0.82815	2.19588	2.22746	3.65425	2.04148	1.93159	2.84674	3.3301	2.70888	2.2192	2.75472	2.42823	1.69802	2.45676	2.29615	0.514811	1.89422	2.26529	1.90768	2.52863	2.20803	2.76623	2.27975	1.77938	2.88654	1.7657	1.69138	2.52005	1.39922	1.6441	0.684882	1.73732	2.45774	2.11278	3.4067	1.89741	1.67038	2.01531	1.80708	2.37971	2.37916	1.85719	1.48188	1.55629	1.40206	1.76651	1.89806	1.36854	2.31135	2.65085	1.77784	1.33177	2.19413	1.90509	2.38995	1.08085	1.32837	1.05345	2.03602	1.67763	1.8316	2.3268	1.88838	2.62211	1.0704	2.17139	2.45267	1.56184	2.20681	1.49195	1.19211	0.952495	1.5139	1.19934	1.93218	0.839537	1.50872	0.921231	1.40127	1.01065	0.168305	1.42012		
ABCA1	2.09464	3.03107	3.70644	4.88849	3.83927	4.17621	3.09042	4.70204	3.10116	2.98447	2.81869	1.4382	2.4101	2.80085	3.26812	3.13397	3.90879	2.39695	4.29995	3.29015	2.51968	2.50838	1.94853	2.05601	2.56659	2.57257	3.32447	3.66505	2.50115	2.33346	3.82326	2.92717	1.74384	2.20726	3.65272	2.17385	2.31618	2.35447	2.65449	2.31948	1.24502	1.35808	1.25771	3.14518	1.75747	2.88549	2.20714	2.33259	3.72824	3.64124	3.81813	3.68934	3.40888	4.21802	2.85221	3.43216	3.80404	2.56801	1.76958	3.53492	3.6016	3.34977	3.61897	3.78658	3.18494	3.47826	4.46781	4.21133	3.04523	2.62149	2.63771	3.83411	3.09101	2.94936	3.31283	3.42397	3.41044	2.59663	2.92425	3.18571	3.7776	3.79498	2.76187	3.71928	2.84594	3.67647	4.61502	2.5366	3.33209	4.6252	3.97761	1.95439	2.08543	2.57056	4.05737	1.95633	2.42112	2.56006	2.75165	3.56616	2.57388	4.49012	3.92068	4.50085	4.14598	4.64621	4.25771	4.27497	4.21229	3.90255	2.73839	3.0925		
ABCA3	3.41367	3.65194	2.59907	2.54839	3.17312	2.76555	3.17488	2.8068	2.50655	2.73995	3.73366	2.92554	3.46417	2.97018	2.93614	2.99037	2.53892	3.28348	2.91461	3.12611	2.9171	3.18916	2.96344	3.20135	3.37722	3.31028	2.8304	3.08293	3.24737	2.82538	2.33783	3.36647	2.65162	4.91662	2.92901	3.11398	2.6778	3.05716	3.52492	3.00048	3.51933	3.21435	3.15157	3.14959	3.32654	3.03861	3.36926	3.28904	3.17912	3.05578	2.91768	3.94385	3.29479	2.96444	2.95843	3.10933	2.75832	3.28317	2.70223	2.94982	2.02969	2.8329	2.69188	2.50609	3.464	2.66426	2.76324	2.38051	2.61547	2.95901	2.67319	2.47951	2.79666	1.24148	2.67549	2.01255	2.87267	1.99469	3.50697	2.86445	2.62303	2.53741	3.42902	2.52688	4.96727	3.15252	2.96518	2.78293	2.61696	2.83474	3.14926	3.06639	4.16467	3.14297	2.69568	3.41809	3.80779	2.75711	4.98393	3.21164	2.77752	3.12425	2.89305	2.63214	3.00801	2.79064	2.86346	2.47394	2.83796	2.41994	1.37087	2.91183		
ABCB1	2.30164	1.23106	1.31497	1.13417	1.06073	1.39637	1.62003	1.16576	1.93564	1.89543	2.71718	1.78872	2.8801	2.51164	3.00311	2.67694	0.761316	2.73525	0.683525	2.12084	2.17873	2.97256	2.37426	3.00844	2.56728	1.96622	2.62338	1.06916	3.01956	2.81822	1.03139	2.77093	1.74191	2.12922	2.66644	3.13562	2.20612	2.71018	2.89421	3.24073	2.07555	2.37217	1.75888	2.70869	1.88468	1.67854	2.95129	1.92704	1.91298	2.78523	1.82962	2.54345	2.13482	2.36867	3.44165	2.5903	2.15563	2.01815	1.02583	2.14238	1.19224	2.59891	2.55762	2.08647	1.59327	2.04394	2.14778	1.43063	2.02053	2.40811	2.35331	2.179	2.67923	1.16709	2.07204	2.40969	3.13123	3.17397	1.9352	3.03517	2.04453	1.29911	2.40598	2.24242	2.49954	1.42235	1.38012	1.27847	2.07012	1.06953	1.58797	2.76794	1.92043	2.51629	0.834075	2.33159	2.08988	1.82179	2.23911	1.50811	1.41389	0.9868	1.54693	1.89781	2.17367	1.04417	1.49644	1.48454	1.78884	0.64177	0.162535	1.96628		
ABCB7	3.32999	3.25075	3.23763	3.22919	3.14495	3.06804	3.2294	3.63783	3.52032	3.26347	3.27064	3.04817	3.66159	3.44122	3.58455	3.51942	3.11073	3.60076	3.32511	3.24978	3.46808	3.56269	3.25803	3.55542	3.41826	3.52963	3.24696	3.19162	3.55257	3.58572	3.0432	3.67312	3.18825	3.33573	3.33652	3.55503	3.52765	3.54108	3.40754	3.38102	3.25955	3.65393	3.64172	3.59069	3.44196	3.18384	3.65157	3.27208	3.27804	3.55951	3.10032	3.12046	3.35976	3.80089	3.52334	3.46357	3.29961	3.23645	3.48164	3.30042	3.12059	3.33472	3.46898	3.48214	3.53019	3.43103	3.36104	3.30642	3.35592	3.40089	3.23101	3.48189	3.88444	3.14828	3.34345	3.52244	3.44546	3.50287	3.22002	3.27364	3.43977	3.20604	3.6541	3.11097	3.28777	3.12259	3.93968	2.88221	3.18968	3.81715	3.19876	3.33406	3.47638	3.29864	3.30542	3.78843	3.53757	3.25657	3.32627	3.07694	3.02144	3.02352	3.1631	3.18473	3.5408	3.19842	3.22751	3.34693	3.40313	3.40119	3.33454	3.12688		
ABCC11	2.12125	4.32091	0.0721575	0.0365382	0.395284	1.42088	0.137697	0.21449	2.09661	1.03982	4.51596	1.1787	1.66215	0.599122	2.67177	1.72053	0.223721	3.30495	0.177771	1.13654	0.222328	1.22904	0.975034	2.88555	3.27195	1.64768	0.510298	2.04629	3.20783	1.98255	0.0980228	0.596141	0.860569	6.65124	0.744871	1.99883	2.47689	3.37189	4.98726	5.37062	3.72268	4.97579	0.420951	3.1967	1.83543	0.0665595	1.31177	1.15664	2.90974	4.33875	1.36881	0.504619	0.942716	1.40892	2.75482	2.28149	2.4366	1.55518	2.22305	2.39214	0.0250295	0.544016	2.29059	0.281448	2.23689	0.604896	1.66236	1.1448	0.36467	4.50455	3.64569	0.975724	1.07277	0.899013	0.188456	1.8452	2.60435	0.0547149	5.35926	1.01267	1.75278	0.398581	0.890932	1.46462	7.17111	0.143588	0.609272	0.139178	1.06563	0.235755	2.75117	1.28147	1.3489	4.27315	0.190061	1.01	0.532489	1.52168	7.38504	0.489067	0.91644	0.0448508	0.515161	0.339497	1.67294	0.203745	1.11109	0.0578708	0.730715	0.515019	0.0398555	0.183169		
ABCC5	2.09975	1.92694	1.68263	2.52675	2.08271	1.82687	2.23283	1.72157	2.15823	1.69973	2.50924	1.44431	2.70844	2.26046	2.80029	2.34089	1.09107	2.63012	1.57191	2.12629	2.04924	2.30116	2.46979	2.35183	2.27264	2.44598	2.92844	2.06211	2.55703	2.41025	1.81187	2.41709	2.22058	1.86115	2.63535	2.16236	2.30116	2.00491	2.0937	2.50449	1.83407	2.16663	1.91524	2.44581	3.37745	0.939864	2.58645	1.84282	2.40862	2.55685	2.04601	2.3319	2.02548	1.60245	2.6229	2.27992	2.31014	2.39557	2.08871	1.6169	1.45053	2.22395	2.10382	2.42149	3.14036	1.70363	1.94244	2.54093	2.17685	2.44694	1.51561	1.83438	2.87627	1.58692	1.98406	1.92047	2.48781	2.18563	2.59266	2.62454	2.28665	1.4323	2.44226	2.1837	2.36499	1.71839	1.55767	1.76383	1.71121	1.12755	1.87572	2.23166	2.32456	2.14715	1.12205	2.30266	2.37292	2.26569	2.0184	1.97523	2.72259	2.23957	1.76377	2.04518	1.76638	1.4744	2.23963	1.84086	1.59465	1.45482	1.78219	2.34661		
ABCD1	2.04129	3.07884	2.78912	3.40728	2.63982	2.37665	2.48429	2.94426	1.50882	1.87829	2.02403	2.30697	1.83384	2.13117	1.90355	1.97556	2.95017	1.75389	3.9274	2.36927	1.88552	1.92252	1.94469	1.88355	1.77707	2.15513	2.17197	2.396	1.87146	1.49363	2.9699	1.56612	2.18236	2.53774	2.05549	1.60516	1.8144	1.6111	1.90161	1.73905	2.38263	2.36859	1.54721	2.00207	2.72912	3.3677	1.62453	2.05109	2.72392	2.53747	2.78812	2.50045	2.31275	3.05658	1.93063	2.2838	2.48911	2.23177	2.14958	2.79864	2.41956	1.85324	1.56101	1.74693	1.59156	2.4225	2.9526	1.61122	1.69767	1.85586	2.00009	2.30189	1.18383	0.687205	2.3392	1.037	1.90609	1.38048	2.18127	2.41568	2.08375	2.51938	1.55662	1.9874	2.83393	2.84506	2.76976	2.74948	2.05104	3.99868	3.32947	2.18664	1.85984	2.1477	2.56871	1.3667	2.22892	2.24693	2.93332	2.71328	3.24079	3.3152	2.81339	2.48399	2.44039	3.04722	2.487	2.02283	3.14502	2.62942	2.41765	2.07217		
ABCD3	4.39475	3.09016	2.83298	2.69811	4.14647	3.29023	3.01218	2.96924	3.21239	3.27826	3.82177	3.34331	3.5053	3.7863	3.90147	3.73119	3.10862	3.97842	3.01613	3.40922	3.43953	3.64043	3.49292	4.10338	4.43992	3.91994	3.364	3.71076	3.71449	3.3261	2.70562	4.04666	3.11972	4.48468	3.592	3.63555	4.33512	4.45374	4.03373	3.97616	3.41285	4.69197	3.86816	3.95922	3.77693	2.41111	3.423	3.57533	3.66299	3.87102	3.59799	3.7021	3.96304	3.47781	3.52336	3.55255	3.63241	3.83074	2.82895	3.08998	2.80345	4.02867	4.033	3.86298	4.3582	3.7461	3.15404	3.86066	3.72403	3.84207	3.73342	3.69521	3.85572	4.16905	3.14825	3.99993	3.71132	3.43993	3.72658	3.77887	3.60885	2.90407	3.7596	3.44961	3.80392	2.93643	3.09675	2.30408	3.44634	2.62749	3.21027	3.63737	3.46799	3.85504	3.00172	3.98431	3.48383	3.32661	3.52098	3.05398	2.42023	2.804	3.17015	3.16893	3.3144	2.86215	3.12332	3.10624	3.01444	3.30689	2.52602	3.29058		
