TCGA-A7-A0CE	TCGA-A7-A0CH	TCGA-A7-A0D9	TCGA-A7-A0DB	TCGA-A7-A0DC	TCGA-A7-A13E	TCGA-A7-A13F	TCGA-A7-A13G	TCGA-AC-A23H	TCGA-AC-A2FB	TCGA-AC-A2FF	TCGA-AC-A2FM	TCGA-BH-A0AU	TCGA-BH-A0AY	TCGA-BH-A0AZ	TCGA-BH-A0B3	TCGA-BH-A0B5	TCGA-BH-A0B7	TCGA-BH-A0B8	TCGA-BH-A0BA	TCGA-BH-A0BC	TCGA-BH-A0BJ	TCGA-BH-A0BM	TCGA-BH-A0BQ	TCGA-BH-A0BT	TCGA-BH-A0BV	TCGA-BH-A0BW	TCGA-BH-A0BZ	TCGA-BH-A0C0	TCGA-BH-A0C3	TCGA-BH-A0DD	TCGA-BH-A0DG	TCGA-BH-A0DH	TCGA-BH-A0DK	TCGA-BH-A0DL	TCGA-BH-A0DO	TCGA-BH-A0DP	TCGA-BH-A0DQ	TCGA-BH-A0DT	TCGA-BH-A0DV	TCGA-BH-A0DZ	TCGA-BH-A0E0	TCGA-BH-A0E1	TCGA-BH-A0H5	TCGA-BH-A0H7	TCGA-BH-A0H9	TCGA-BH-A0HA	TCGA-BH-A0HK	TCGA-BH-A18J	TCGA-BH-A18K	TCGA-BH-A18L	TCGA-BH-A18M	TCGA-BH-A18N	TCGA-BH-A18P	TCGA-BH-A18Q	TCGA-BH-A18R	TCGA-BH-A18S	TCGA-BH-A18U	TCGA-BH-A18V	TCGA-BH-A1EN	TCGA-BH-A1EO	TCGA-BH-A1ET	TCGA-BH-A1EU	TCGA-BH-A1EV	TCGA-BH-A1EW	TCGA-BH-A1F0	TCGA-BH-A1F2	TCGA-BH-A1F6	TCGA-BH-A1F8	TCGA-BH-A1FB	TCGA-BH-A1FC	TCGA-BH-A1FD	TCGA-BH-A1FE	TCGA-BH-A1FG	TCGA-BH-A1FH	TCGA-BH-A1FJ	TCGA-BH-A1FM	TCGA-BH-A1FN	TCGA-BH-A1FR	TCGA-BH-A1FU	TCGA-BH-A203	TCGA-BH-A204	TCGA-BH-A208	TCGA-BH-A209	TCGA-E2-A153	TCGA-E2-A158	TCGA-E2-A15I	TCGA-E2-A15K	TCGA-E2-A15M	TCGA-E2-A1BC	TCGA-E2-A1IG	TCGA-E2-A1L7	TCGA-E2-A1LB	TCGA-E2-A1LH	TCGA-E2-A1LS	TCGA-E9-A1N4	TCGA-E9-A1N5	TCGA-E9-A1N6	TCGA-E9-A1N9	TCGA-E9-A1NA	TCGA-E9-A1ND	TCGA-E9-A1NF	TCGA-E9-A1NG	TCGA-E9-A1R7	TCGA-E9-A1RB	TCGA-E9-A1RC	TCGA-E9-A1RD	TCGA-E9-A1RF	TCGA-E9-A1RH	TCGA-E9-A1RI	TCGA-GI-A2C8	TCGA-GI-A2C9		
A2M	6.22559	5.50922	6.44382	6.51879	5.82736	5.41422	6.72329	6.05071	5.28047	7.65729	8.15514	5.9857	6.15503	7.35556	7.6516	6.35089	6.53528	7.41088	6.24287	6.95954	7.54368	7.18765	6.37107	7.29089	5.90077	6.86953	9.04102	7.27341	6.5323	7.58471	5.13957	7.03762	6.19689	7.83237	5.70199	7.1845	6.82336	7.29503	7.30804	8.40505	6.23344	5.68269	6.78762	7.02762	5.91018	6.1275	6.92188	7.15745	6.11114	6.34487	5.82484	6.97564	6.19151	5.88829	8.37119	5.84465	5.52546	6.00346	5.87037	6.88373	7.06219	6.76781	7.64919	5.76334	6.94799	7.55703	6.5918	7.04094	5.62006	7.42867	5.36506	5.72244	7.38141	5.41765	7.94745	5.32169	5.93932	5.46901	6.34582	7.69206	6.30462	6.58667	8.11778	6.498	6.69414	6.2952	6.47296	5.51337	7.88107	6.5149	6.89821	6.58947	5.99676	7.59316	6.28185	7.17445	6.67109	5.82326	6.5853	5.3841	6.13535	6.63765	7.48682	5.99804	6.8306	4.74474	6.63833	5.91715	4.47813	6.7827	7.06888	6.51591		
ABAT	1.33261	4.20181	3.39895	3.8601	3.37493	0.453302	3.37896	4.52556	1.28232	2.60175	3.1089	3.12655	3.86829	2.14525	2.31249	0.615826	3.57949	1.58431	1.08395	3.28145	2.05878	2.43626	1.87905	4.54444	6.00747	3.37864	0.938174	1.34003	3.67326	4.80354	2.42936	2.73602	3.54154	2.41847	0.838736	4.66236	3.99289	3.43752	4.21527	2.98392	2.10612	0.96628	3.11526	3.30452	1.40531	4.6197	3.38097	1.03519	1.76211	3.46934	0.487711	4.5839	4.99541	2.88956	1.94319	2.00249	2.71127	2.44567	0.30971	1.46691	1.32319	5.65672	3.62831	3.22835	3.45262	0.9218	3.24064	0.586589	3.25598	3.88883	0.606057	4.67041	3.10404	4.88479	2.34995	3.80374	1.82249	1.25227	1.69484	1.07677	1.7193	2.32677	1.04669	1.1576	3.97025	0.742429	4.66559	5.72822	2.23618	4.41105	1.77159	0.66879	2.75742	0.533418	0.838755	3.11814	5.87147	2.23556	0.901883	1.7802	1.26359	2.41666	4.26958	4.54685	4.33975	3.82624	4.49949	1.09048	1.30304	4.5198	1.06696	0.914787		
ABCA1	2.12447	1.62883	1.71634	2.29841	4.23297	2.34906	1.2685	3.28246	1.8127	2.15417	3.32012	2.12009	1.88441	2.14155	2.08536	1.57518	3.03611	2.25404	1.1499	3.2808	2.59879	2.25757	2.01105	1.62086	1.15689	2.00916	3.76312	2.37399	2.31777	3.53831	2.13194	2.43047	0.990218	2.11209	3.41894	2.22068	2.18667	2.04464	2.417	1.93043	2.20433	1.45566	1.18265	2.43915	2.21685	1.75022	1.95392	1.91771	2.37769	1.98173	2.31591	2.40677	1.09437	1.8065	2.14524	3.04977	1.28489	1.65291	2.66055	1.85588	3.49655	2.27853	4.14741	2.00181	3.07614	2.99064	2.87819	1.7527	1.71616	2.8066	2.34539	2.27187	2.03427	1.80581	3.05152	1.82509	2.88652	2.53554	1.29851	2.23364	2.41216	1.3419	2.57087	2.2606	2.08583	2.613	3.00385	0.818072	3.56249	2.89666	2.16849	1.71748	1.57696	1.31628	1.33121	3.14958	2.57088	2.41881	2.602	2.68574	2.78174	2.52304	2.58297	2.24539	2.3902	2.66802	1.41185	2.69175	2.42554	2.61312	2.40521	1.72147		
ABCA3	2.75452	4.5772	3.47067	3.95619	3.81207	4.5565	4.17829	3.98394	3.00854	2.88734	3.29834	5.59453	4.83194	5.47303	2.75815	3.09265	3.8264	3.76198	4.29938	4.76747	2.99046	3.84164	2.45165	3.83743	4.96593	4.2765	3.03424	2.97431	3.30917	3.79749	3.6391	3.45921	5.33689	2.15557	2.32239	2.91779	3.5663	4.58274	3.47972	2.9129	1.52831	2.19099	4.78828	4.19617	3.36107	6.54965	4.30971	2.20619	3.85123	4.32968	5.76263	4.93602	4.6985	3.35057	3.20963	3.62208	2.76795	3.11638	4.11361	4.30542	3.54296	5.1135	3.18647	3.44412	3.35888	3.07935	2.0009	5.047	2.71273	5.13427	4.16691	4.00708	2.69401	4.57661	3.48518	3.91644	2.48043	3.06482	4.43789	2.12594	1.58293	4.86381	1.77703	3.23379	3.93175	3.54706	4.02253	5.52432	3.26163	3.33654	3.50122	2.03914	3.56994	3.93975	1.66112	3.57385	4.63868	2.90107	2.24117	4.24934	1.52597	3.08352	2.36246	3.29628	3.29334	5.87021	4.38131	2.93397	2.08688	3.81487	3.261	3.9215		
ABCB1	0.441408	0.400284	0.518201	0.637909	0.890632	0.117012	0.65744	0.706878	0.125673	2.08029	2.74533	0.690619	0.824614	0.427409	1.32198	0.426189	0.651492	1.63986	0.643381	1.6088	0.975391	1.12791	1.23574	1.36146	0.491877	0.74386	0.49716	0.865934	0.860866	1.59037	0.381786	0.998483	0.344036	1.61762	0.452319	1.69036	0.7199	0.883287	1.4202	2.13448	0.673782	0.423457	0.999591	2.00187	0.530566	0.614672	1.01965	0.931744	0.223838	0.652707	0.42352	1.69361	0.631236	0.701141	0.911996	1.18717	0.628987	0.473216	0.470492	0.394941	0.890684	1.38651	1.64077	0.139909	1.12361	1.38001	0.422804	0.583807	0.568434	2.30292	0.814642	0.144619	1.37045	0.321828	2.93013	0.279858	0.164109	0.23687	0.835969	1.97743	0.639059	0.559312	1.04706	1.26269	0.498801	0.24449	1.14301	0.4516	1.67136	0.903108	0.231726	0.789288	0.255237	0.582069	0.307895	1.08515	0.567114	0.152495	1.67107	0.189436	0.760985	0.336411	0.336714	0.843305	0.227991	0.0973003	0.938657	0.414418	0.0947647	0.770058	1.06582	0.378293		
ABCB7	3.6554	3.65169	2.84586	3.30737	3.21015	2.87133	3.41329	3.38109	3.42558	3.37134	3.45755	2.76815	2.97466	2.87158	2.79181	3.25683	3.27528	3.49164	3.41596	3.47317	3.43468	3.84889	2.8151	3.2244	3.12453	3.88363	2.95624	2.23681	3.03725	3.30251	3.54792	2.97328	3.54676	2.72596	3.46357	3.51032	3.60422	2.30085	3.26532	2.96696	2.80305	3.64182	3.37321	3.34168	2.71656	2.71418	2.71758	3.00223	2.92899	3.19353	2.86705	2.48342	3.50308	3.6975	2.78566	3.30918	3.52649	3.55581	3.37642	3.11894	3.35624	3.8132	3.72812	3.1921	2.94486	3.25637	3.40151	3.29382	3.91523	3.3342	4.02714	3.44482	2.78088	2.90794	2.94294	3.55909	3.61524	3.2978	3.45888	3.23294	3.02716	3.93555	2.68624	2.9929	3.10764	3.10559	3.85677	3.14371	3.61919	3.63871	2.93571	2.95387	2.70741	2.14104	2.31676	3.74655	2.91937	2.51185	3.31004	3.05759	3.54284	2.70757	3.20789	3.76232	3.70184	3.39882	4.0216	2.822	3.28002	3.18867	2.69109	2.80966		
ABCC11	0.0307835	3.26713	0.584404	2.01538	1.61387	0.105904	3.67602	2.46388	6.70058	4.41704	2.37936	0.219103	1.09121	1.71385	3.00192	0.0608897	1.66361	5.38362	0.781916	6.12003	3.2088	3.81827	2.93053	4.36304	1.31662	2.84117	0.367426	4.18592	2.411	6.21594	0.964732	5.20617	1.85184	2.21137	0.0272088	2.06921	3.41203	1.78269	1.66929	3.43207	2.54	0.184839	1.04638	2.7659	0.306673	0.955464	2.2396	1.52552	0.786949	2.47742	0.342016	1.26872	2.5688	3.02879	0.629215	2.42491	5.75879	3.35389	0.134775	1.04282	0.434414	1.61416	1.17242	3.73962	2.72486	0.0413244	3.81108	0.213989	4.06178	4.14005	3.49139	0.911224	0.0677285	4.06646	1.8741	4.31833	0.20415	1.62275	2.69059	4.25132	5.77986	0.143771	1.13064	0.268764	2.88907	0.169156	2.33898	3.58042	2.52157	5.68249	0.14617	3.3264	6.46802	0.782657	0.107622	0.252385	1.87756	4.79706	0.595712	0.607355	0.0348767	3.8577	0.510922	1.42397	1.63778	0.908445	4.38602	2.71381	2.8432	2.66168	0.255349	0.226623		
ABCC5	2.16696	2.54141	3.39782	2.82577	4.06865	2.36454	2.21649	3.49981	3.30365	1.86112	1.76751	2.78685	4.38868	2.64073	2.36812	2.29521	4.12736	1.66764	4.10468	3.24663	2.98261	2.85766	1.90253	1.35979	2.9931	3.13501	1.80509	3.49901	4.03915	3.49046	2.37387	3.11998	3.06611	2.70111	2.45863	1.80741	3.07034	2.58855	2.03049	2.43776	3.17175	1.15964	1.32685	1.34939	4.41271	2.29983	2.69384	2.63433	3.7095	3.6044	2.2133	2.99499	1.78598	3.51855	2.94928	3.8762	2.25516	2.92484	2.49877	1.76003	2.597	3.27951	2.29134	4.06509	3.86993	2.45168	3.31164	2.0492	4.8749	2.03962	2.26921	2.33863	1.81001	1.74226	2.07378	2.65843	3.06483	2.68858	1.89907	1.3568	4.11514	4.0554	1.56318	2.35764	2.47468	3.43163	5.12861	4.02457	2.55955	3.07256	2.87938	1.74681	1.35588	1.75125	1.66131	2.95386	2.80932	2.05316	1.28901	3.70449	1.74058	2.08346	2.64621	2.79022	2.13266	3.32532	4.13751	4.28912	3.51187	4.51067	4.25304	3.29179		
ABCD1	2.88477	2.07427	3.30994	2.17165	1.61794	1.7427	2.42202	1.87534	3.01618	1.94958	1.89606	2.25755	2.70074	3.05038	2.10166	3.55078	2.27816	3.70071	2.47245	2.37817	2.77449	2.5894	2.50386	2.34652	2.67539	3.01849	4.04734	3.72008	4.16365	2.82227	2.17485	2.92299	2.23466	2.85189	3.53768	1.94291	2.25063	2.97825	2.10404	2.2349	2.47957	2.49801	2.71904	2.5005	3.22698	2.21366	2.88196	2.32798	2.99873	2.732	2.02998	2.36151	2.36425	2.4526	3.43153	1.70652	1.96407	1.75088	2.68402	3.2026	1.84032	2.07965	1.9471	2.32273	1.92468	2.92737	2.04195	3.01868	1.73834	2.15297	3.56184	2.66624	3.18326	2.14188	2.27724	1.70776	2.02975	2.05854	2.71632	1.88779	1.98909	1.19191	2.0443	2.60183	2.8143	2.04148	2.40103	2.84481	2.04652	2.08908	2.35103	2.61379	3.588	4.21838	0.830558	2.71424	2.80421	3.10378	2.44522	4.07423	3.91027	3.42151	2.21503	2.44949	2.43895	2.33999	2.05991	2.6855	2.48248	1.74568	3.06195	3.17727		
ABCD3	4.43324	4.89827	4.48798	4.58616	5.06841	2.90938	5.09007	4.75856	3.85953	4.65971	4.95805	3.90066	4.31589	3.81879	2.80836	3.33912	3.71229	2.92027	2.75215	4.11103	4.37778	3.56785	3.6223	3.32774	3.50015	3.23869	4.42402	3.86083	4.00115	4.37444	3.46656	3.53529	5.07143	2.99212	3.99093	4.75889	4.1439	4.22514	4.07328	3.50768	3.00215	3.50775	2.5498	4.06968	4.19885	4.22889	3.77763	4.49612	4.01179	4.29376	4.43987	4.38685	5.26801	4.08843	3.52773	4.27717	4.3431	3.96014	2.64198	3.17376	3.79706	4.62047	3.99427	3.1213	4.07012	3.44929	5.60038	2.69635	3.78962	4.73874	2.90613	4.8132	2.85564	5.61735	3.83113	4.02127	4.48263	3.95476	4.90325	3.65131	3.6398	5.56228	2.75912	4.25893	3.74432	3.33534	4.6464	4.90514	4.90415	4.29004	2.88788	3.28977	3.73089	2.29966	1.83743	4.25111	4.76557	4.23148	3.55753	3.62542	3.4567	2.86877	3.68784	3.81739	4.49374	3.55972	4.85964	3.41946	4.39174	4.77279	3.89581	3.11846		
