Rank	GeneID	GeneName	CGC
1	7157	TP53	Y	
2	5290	PIK3CA	Y	
3	5728	PTEN	Y	
4	207	AKT1	Y	
5	5295	PIK3R1	Y	
6	472	ATM	Y	
7	672	BRCA1	Y	
8	2033	EP300	Y	
9	675	BRCA2	Y	
10	1387	CREBBP	Y	
11	5925	RB1	Y	
12	11200	CHEK2	Y	
13	6597	SMARCA4	Y	
14	3480	IGF1R	N	
15	5591	PRKDC	N	
16	545	ATR	Y	
17	7046	TGFBR1	N	
18	3643	INSR	N	
19	5888	RAD51	N	
20	5727	PTCH1	Y	
21	6908	TBP	N	
22	6872	TAF1	N	
23	3320	HSP90AA1	Y	
24	25	ABL1	Y	
25	2309	FOXO3	Y	
26	328	APEX1	N	
27	7273	TTN	N	
28	3276	PRMT1	N	
29	1938	EEF2	N	
30	773	CACNA1A	N	
31	4089	SMAD4	Y	
32	4193	MDM2	Y	
33	25942	SIN3A	N	
34	5422	POLA1	N	
35	2475	MTOR	Y	
36	5599	MAPK8	N	
37	7376	NR1H2	N	
38	2071	ERCC3	Y	
39	3837	KPNB1	N	
40	7020	TFAP2A	N	
41	3148	HMGB2	N	
42	902	CCNH	N	
43	4691	NCL	N	
44	1869	E2F1	N	
45	3065	HDAC1	N	
46	3845	KRAS	Y	
47	7158	TP53BP1	N	
48	6794	STK11	Y	
49	999	CDH1	Y	
50	3326	HSP90AB1	Y	
51	5747	PTK2	N	
52	4436	MSH2	Y	
53	2874	GPS2	N	
54	3838	KPNA2	N	
55	7159	TP53BP2	N	
56	4194	MDM4	Y	
57	1739	DLG1	N	
58	890	CCNA2	N	
59	2064	ERBB2	Y	
60	1107	CHD3	N	
61	142	PARP1	N	
62	641	BLM	Y	
63	4703	NEB	N	
64	23411	SIRT1	N	
65	2065	ERBB3	Y	
66	1956	EGFR	Y	
67	7337	UBE3A	N	
68	1017	CDK2	N	
69	26354	GNL3	N	
70	2547	XRCC6	N	
71	2074	ERCC6	N	
72	208	AKT2	Y	
73	7150	TOP1	Y	
74	2908	NR3C1	N	
75	7874	USP7	N	
76	8850	KAT2B	N	
77	5243	ABCB1	N	
78	7319	UBE2A	N	
79	1974	EIF4A2	Y	
80	7153	TOP2A	N	
81	2972	BRF1	N	
82	2099	ESR1	Y	
83	4331	MNAT1	N	
84	821	CANX	N	
85	6789	STK4	N	
86	5595	MAPK3	N	
87	3146	HMGB1	N	
88	6093	ROCK1	N	
89	5894	RAF1	Y	
90	3313	HSPA9	N	
91	9232	PTTG1	N	
92	4893	NRAS	Y	
93	5933	RBL1	N	
94	5347	PLK1	N	
95	7534	YWHAZ	N	
96	7341	SUMO1	N	
97	8556	CDC14A	N	
98	1147	CHUK	N	
99	7297	TYK2	N	
100	4087	SMAD2	Y	
101	6790	AURKA	N	
102	2965	GTF2H1	N	
103	1019	CDK4	Y	
104	7298	TYMS	N	
105	7204	TRIO	N	
106	7486	WRN	Y	
107	1027	CDKN1B	Y	
108	1655	DDX5	Y	
109	7251	TSG101	N	
110	92	ACVR2A	Y	
111	5515	PPP2CA	N	
112	5602	MAPK10	N	
113	6670	SP3	N	
114	6594	SMARCA1	N	
115	4904	YBX1	N	
116	5495	PPM1B	N	
117	5291	PIK3CB	N	
118	1020	CDK5	N	
119	8243	SMC1A	N	
120	995	CDC25C	N	
121	3667	IRS1	N	
122	5159	PDGFRB	Y	
123	4088	SMAD3	Y	
124	1459	CSNK2A2	N	
125	26986	PABPC1	N	
126	7430	EZR	Y	
127	6813	STXBP2	N	
128	5934	RBL2	N	
129	1616	DAXX	Y	
130	7161	TP73	N	
131	1021	CDK6	Y	
132	3621	ING1	N	
133	369	ARAF	N	
134	5371	PML	Y	
135	4839	NOP2	N	
136	6241	RRM2	N	
137	3312	HSPA8	N	
138	920	CD4	N	
139	9656	MDC1	N	
140	55695	NSUN5	N	
141	790	CAD	N	
142	3551	IKBKB	Y	
143	6310	ATXN1	N	
144	6117	RPA1	N	
145	673	BRAF	Y	
146	6446	SGK1	N	
147	6880	TAF9	N	
148	8533	COPS3	N	
149	861	RUNX1	Y	
150	7532	YWHAG	N	
151	558	AXL	N	
152	581	BAX	N	
153	1915	EEF1A1	N	
154	2068	ERCC2	Y	
155	3815	KIT	Y	
156	2931	GSK3A	N	
157	3091	HIF1A	Y	
158	8458	TTF2	N	
159	7409	VAV1	N	
160	8997	KALRN	N	
161	9647	PPM1F	N	
162	51147	ING4	N	
163	1656	DDX6	Y	
164	288	ANK3	N	
165	6517	SLC2A4	N	
166	823	CAPN1	N	
167	5430	POLR2A	N	
168	847	CAT	N	
169	8470	SORBS2	N	
170	5914	RARA	Y	
171	868	CBLB	Y	
172	8761	PABPC4	N	
173	2737	GLI3	N	
174	9475	ROCK2	N	
175	6195	RPS6KA1	N	
176	1454	CSNK1E	N	
177	4792	NFKBIA	N	
178	9611	NCOR1	Y	
179	5725	PTBP1	N	
180	3295	HSD17B4	N	
181	6193	RPS5	N	
182	3717	JAK2	Y	
183	10129	FRY	N	
184	7750	ZMYM2	Y	
185	9146	HGS	N	
186	23405	DICER1	Y	
187	5594	MAPK1	Y	
188	595	CCND1	Y	
189	1457	CSNK2A1	N	
190	7443	VRK1	N	
191	8575	PRKRA	N	
192	1759	DNM1	N	
193	3718	JAK3	Y	
194	5042	PABPC3	N	
195	834	CASP1	N	
196	2175	FANCA	Y	
197	9013	TAF1C	N	
198	4659	PPP1R12A	N	
199	891	CCNB1	N	
200	4609	MYC	Y	
201	1958	EGR1	N	
202	3716	JAK1	Y	
203	867	CBL	Y	
204	7295	TXN	N	
205	467	ATF3	N	
206	6595	SMARCA2	N	
207	4913	NTHL1	N	
208	1778	DYNC1H1	N	
209	6601	SMARCC2	N	
210	3611	ILK	N	
211	55843	ARHGAP15	N	
212	5294	PIK3CG	N	
213	10376	TUBA1B	N	
214	4801	NFYB	N	
215	6829	SUPT5H	N	
216	4649	MYO9A	N	
217	8289	ARID1A	Y	
218	1879	EBF1	Y	
219	5156	PDGFRA	Y	
220	55655	NLRP2	N	
221	7454	WAS	Y	
222	7465	WEE1	N	
223	324	APC	Y	
224	8874	ARHGEF7	N	
225	2185	PTK2B	N	
226	2887	GRB10	N	
227	6125	RPL5	Y	
228	8295	TRRAP	Y	
229	6830	SUPT6H	N	
230	3608	ILF2	N	
231	1495	CTNNA1	N	
232	1373	CPS1	N	
233	5426	POLE	Y	
234	93	ACVR2B	N	
235	4332	MNDA	N	
236	355	FAS	Y	
237	11073	TOPBP1	N	
238	10236	HNRNPR	N	
239	4627	MYH9	Y	
240	1287	COL4A5	N	
241	3329	HSPD1	N	
242	6850	SYK	Y	
243	1796	DOK1	N	
244	6191	RPS4X	N	
245	3615	IMPDH2	N	
246	5923	RASGRF1	N	
247	4602	MYB	Y	
248	5469	MED1	N	
249	6647	SOD1	N	
250	8202	NCOA3	N	
251	3654	IRAK1	N	
252	7249	TSC2	Y	
253	29927	SEC61A1	N	
254	10111	RAD50	N	
255	31	ACACA	N	
256	1728	NQO1	N	
257	3978	LIG1	N	
258	8546	AP3B1	N	
259	841	CASP8	Y	
260	1660	DHX9	N	
261	23195	MDN1	N	
262	2549	GAB1	N	
263	4512	MT-CO1	N	
264	4513	MT-CO2	N	
265	3066	HDAC2	N	
266	678	ZFP36L2	N	
267	1756	DMD	N	
268	287	ANK2	N	
269	3297	HSF1	N	
270	10847	SRCAP	N	
271	334	APLP2	N	
272	9439	MED23	N	
273	90	ACVR1	Y	
274	2885	GRB2	N	
275	5883	RAD9A	N	
276	6934	TCF7L2	Y	
277	79677	SMC6	N	
278	4763	NF1	Y	
279	4660	PPP1R12B	N	
280	9014	TAF1B	N	
281	94	ACVRL1	N	
282	6175	RPLP0	N	
283	23451	SF3B1	Y	
284	6464	SHC1	N	
285	2182	ACSL4	N	
286	940	CD28	N	
287	5921	RASA1	N	
288	4176	MCM7	N	
289	59	ACTA2	N	
290	5984	RFC4	N	
291	10116	FEM1B	N	
292	3306	HSPA2	N	
293	6604	SMARCD3	N	
294	2242	FES	Y	
295	1316	KLF6	Y	
